source,business_name,email,phone,address,website,category
yellowpages,Digital Marketing Agency,N/A,(956) 250-9410,"3775 S Vermont Ave Los Angeles, CA 90007",http://sarasota-marketing.com,Marketing Programs & Services
yellowpages,Promotion La Inc Digital Marketing Agency,N/A,(310) 405-7598,"N Los Angeles St Los Angeles, CA 90012",https://promotionla.com,Marketing Programs & ServicesMarketing Consultants
yellowpages,Blacksmith Digital Marketing Agency,N/A,(855) 255-7585,"555 W 5th St Los Angeles, CA 90013",https://www.blacksmith.agency,Marketing Consultants
yellowpages,Beattie Cole Digital Marketing Agency,N/A,(213) 935-8532,"1428 Echo Park Ave Los Angeles, CA 90026",http://beattiecoledigitalmarketingagency.localsearch.com,Advertising AgenciesGraphic DesignersMarketing Consultants
yellowpages,"Zevi Digital Marketing Agency - Los Angeles, CA",N/A,(818) 839-0603,"1401 Westwood Blvd Los Angeles, CA 90024",https://zevidigital.com,Marketing ConsultantsAdvertising Agencies
yellowpages,Digital Marketing Agency Guru,N/A,(323) 524-9990,"3440 Wilshire Blvd Los Angeles, CA 90010",http://digitalmarketingagencyguru.localsearch.com,Marketing Programs & Services
yellowpages,Comrade Digital Marketing Agency Los Angeles,N/A,(323) 760-7747,"1735 N Normandie Ave Los Angeles, CA 90027",https://comradeweb.com/digital-marketing-agency-la,"Advertising AgenciesProduct Design, Development & Marketing"
yellowpages,New York Digital Marketing Agency,N/A,(516) 614-3607,"4624 W Washington Blvd Los Angeles, CA 90016",http://newyorkdigitalmarketingagency.net,Marketing Consultants
yellowpages,Promotion La Digital Marketing Agency,N/A,(310) 405-7598,"10401 Santa Monica Blvd Los Angeles, CA 90025",http://yellowpages.com/los-angeles-ca/mip/natioial-home-retention-service-482767961,Marketing Consultants
yellowpages,Iconier Digital Marketing Agency,N/A,(702) 238-5098,"Los Angeles, CA 90070",https://x.com/iconierinc,Marketing Programs & ServicesWeb Site Design & Services
yellowpages,Bullfrog Digital Marketing Agency & SEO Company,N/A,(323) 920-0350,"11306 Moorpark St. Los Angeles, CA 91602",https://bullfrogagency.com,Internet Marketing & Advertising
yellowpages,Mera Group Digital Marketing & Creative Agency,N/A,(818) 582-8709,"PO Box 411913 Los Angeles, CA 90041",http://meragroupdigitalmarketingcreativeagency.localsearch.com,Marketing Consultants
yellowpages,Intrepid Digital,N/A,(323) 763-9706,"515 S Flower St Los Angeles, CA 90071",https://www.intrepidonline.com,Internet Marketing & AdvertisingMarketing Programs & ServicesAdvertising Agencies
yellowpages,Jemsu Los Angeles SEO & Digital Advertising,N/A,(323) 214-3410,"445 S Figueroa St Ste 3100 Los Angeles, CA 90071",https://jemsu.com/los-angeles-seo,Internet Marketing & AdvertisingMarketing Programs & ServicesAdvertising Agencies
yellowpages,LaV1 - Los Angeles Digital Marketing & SEO,N/A,(213) 842-0774,"6230 Wilshire Blvd # 1109 Los Angeles, CA 90048",https://lav1.com,Internet Marketing & AdvertisingMarketing Programs & ServicesPublic Relations Counselors
yellowpages,Amplitude Digital Inc,N/A,(213) 973-2002,"5792 W Jefferson Blvd #2149 Los Angeles, CA 90016",https://amplitudeagency.com,Internet Marketing & AdvertisingAdvertising Agencies
yellowpages,Sharp Gantt Digital Agency,N/A,(323) 397-5112,"355 S Grand Ave Ste 2450 Los Angeles, CA 90071",http://yellowpages.com/los-angeles-ca/mip/los-angeles-lawyer-magazine-463514604,Marketing Consultants
yellowpages,Nitro Plug Digital Marketing,N/A,(888) 983-1230,"811 Wilshire Blvd Los Angeles, CA 90017",https://www.nitroplug.com,Marketing Programs & ServicesAdvertising Agencies
yellowpages,Firespoke Digital Media,N/A,(323) 206-0491,"12100 Wilshire Blvd Los Angeles, CA 90025",http://firespokedigitalmedia.localsearch.com,Advertising AgenciesMarketing Consultants
yellowpages,Avozar Advertising,N/A,(323) 766-8844,"1317 W 11th St Los Angeles, CA 90015",http://www.avozar.com,Internet Marketing & AdvertisingPrint AdvertisingUniforms-Manufacturers & Wholesale
yellowpages,Cybertegic Inc- Digital Marketing & Web Design Agency,N/A,(626) 810-3763,"177 E Colorado Blvd Ste 200-3069 Pasadena, CA 91105",https://www.cybertegic.com,Internet Marketing & AdvertisingMarketing Programs & ServicesAdvertising Agencies
yellowpages,Tower 25 Digital Marketing Agency,N/A,(310) 807-6823,"2219A Main St Santa Monica, CA 90405",https://tower25.com,Marketing Programs & ServicesPublic Relations CounselorsAdvertising Agencies
yellowpages,8 Digital Marketing Agency,N/A,(310) 461-6515,"15000 Downey ave Paramount, CA 90723",http://www.8-digitalmarketing.com,Internet Marketing & AdvertisingWeb Site HostingGraphic Designers
yellowpages,Melleka Marketing - A Digital Marketing Agency,N/A,(818) 599-2696,"21900 Burbank Blvd Ste 3054 Woodland Hills, CA 91367",https://www.melleka.com,Internet Marketing & AdvertisingMarketing Programs & ServicesDirectory & Guide Advertising
yellowpages,Brenton Way | Digital Marketing Agency,N/A,(424) 208-2521,"6303 Owensmouth Ave Ste 1063 Woodland Hills, CA 91367",https://brentonway.com,Internet Marketing & AdvertisingMarketing Programs & ServicesInternet Consultants
yellowpages,Smart Vizio Los Angeles SEO and Digital Marketing Agency,N/A,(818) 914-8483,"6110 Nevada Ave Apt 213 Woodland Hills, CA 91367",http://smartviziolosangelesseoanddigitalmarketingagency.localsearch.com,Marketing Programs & ServicesAdvertising Agencies
yellowpages,Colab Digital Marketing Agency Los Angeles,N/A,(888) 247-5055,"21300 Victory Blvd Woodland Hills, CA 91367",https://colablosangeles.com,N/A
yellowpages,Adlab-Digital Marketing Agency,N/A,(800) 733-4633,"5158 Clareton Dr Agoura Hills, CA 91301",https://www.adlabonline.com,Marketing Programs & ServicesMarketing Consultants
yellowpages,Le Cherry Creative Digital Marketing Agency Los Angeles Ca,N/A,(714) 334-3530,"21411 Bowsprit Ln Huntington Beach, CA 92646",http://lecherrycreativedigitalmarketingagencylosangelesca.localsearch.com,Marketing Consultants
yellowpages,CMC Digital Media Inc.,N/A,(323) 588-0008,"3170 E Slauson Ave Vernon, CA 90058",http://cmcdigitalmediaincca.localsearch.com,Marketing Programs & ServicesMedia BrokersAdvertising Agencies
source	business_name	phone	address	website	rating	category	email	ml_score	ml_grade	ml_recommend
google_maps	Bismarckworld Media– Leading Digital Marketing Agency in Mumbai	081699 40571	Everest Grande, B-108-109, Mahakali Caves Rd, Shanti Nagar, Andheri (E, Mumbai, Maharashtra 400093	https://bismarckworldmedia.com/	4.5	Marketing agency	N/A	100	A	TRUE
google_maps	Sociial Mantraa | Digital Marketing Agency | Website Designing | Social Media Marketing | Event marketing | SEO | Mumbai	098928 39706	Adarsh Apartments, 12/13, BJ Patel Rd, near SNDT College, Malad, Adarsh Nagar, Malad West, Mumbai, Maharashtra 400064	http://www.sociialmantraa.com/	4.9	Advertising agency	N/A	100	A	TRUE
google_maps	Dimerse | Top Digital Marketing Agency in Mumbai | Web Design services in Mumbai	088502 88101	no 20, 1st floor, 91springboard Lotus,Plot no D, 5th Rd, Marol MIDC Industry Estate, Andheri East, Mumbai, Maharashtra 400093	http://www.dimerse.com/	4.9	Advertising agency	N/A	100	A	TRUE
google_maps	Marque Digital	085911 50916	Aradhana, 16, off station road, Patkar Blocks, bandra west, Mumbai, Maharashtra 400050	http://www.marquedigital.com/	4.6	Marketing agency	N/A	100	A	TRUE
google_maps	Digital Impacts | Digital Marketing Agency in Mumbai | India	097024 52304	Shop- 25, 26, Sai Shraddha, Phase 1, Ashok Van, Dahisar East, Mumbai, Maharashtra 400066	https://www.digitalimpacts.in/	4.9	Marketing agency	N/A	100	A	TRUE
google_maps	BizzneX - Digital Marketing Agency in Borivali, Mumbai	099596 55615	201 D-Block, Gora Gandhi apartment, Swami Vivekanand Rd, Shanti Nagar, Borivali West, Mumbai, Maharashtra 400092	https://biznex.app/	4.8	Marketing agency	N/A	100	A	TRUE
google_maps	DIGITAL SOCH PVT. LTD.-(Google Partner Digital Marketing agency Mumbai)-Best SEO/Digital Marketing Company in Andheri,Mumbai	072089 09232	105, Akruti Star, MIDC Central Rd, Kondivita, Andheri East, Mumbai, Maharashtra 400093	http://www.digitalsochmedia.com/	4.2	Internet marketing service	N/A	100	A	TRUE
google_maps	Bricks Media - Digital Marketing Agency in Mumbai | SEO Agency in Mumbai | SEO Company	091729 25272	A Wing, Ashoka Heights, 201, opp. Gaondevi Ground, Thane West, Maharashtra, 400602	https://bricksdigitalmedia.com/	4.9	Internet marketing service	N/A	100	A	TRUE
google_maps	Hitesh Motwani Digital Marketing Trainer and Agency	098924 14313	3rd Floor, Pushpak CHS, Khira Nagar, Flat No. B - 10/31, S.V.Road, Khira Nagar, Santacruz West, Mumbai, Maharashtra 400054	http://www.hiteshmotwani.com/	5	Marketing agency	N/A	100	A	TRUE
google_maps	Media Barn - Digital Marketing Agency	098926 56677	812, Corporate Annexe, Goregaon East, Mumbai, Maharashtra 400063	http://www.mediabarn.co.in/	4.7	Marketing agency	N/A	100	A	TRUE
google_maps	Zero Gravity Communications	063588 63118	4th Floor, Spectrum Tower, Chincholi Bunder Rd, Malad, Rajan Pada, Mindspace, Malad West, Mumbai, Maharashtra 400064	https://dpkdigitals.com/	4.7	Advertising agency	N/A	100	A	TRUE
google_maps	Alphadigi:Best Digital Marketing Agency in Mumbai | Best Social Media Marketing Agency| Best SEO Agency | PPC	077578 62491	Gopal Mansion B, 67B, Gurunanak Rd, Bandra West, Mumbai, Maharashtra 400050	https://alphadigi.in/best-digital-marketing-agency-in-mumbai/	5	Marketing agency	N/A	100	A	TRUE
google_maps	Cash Digital Media	081043 90065	Near, Oshiwara Police Station Rd, Oshiwara, Andheri West, Mumbai, Maharashtra 400102	http://cashdigitalmedia.com/	5	Marketing agency	N/A	100	A	TRUE
google_maps	One Wrap Digital Solutions | Best Digital Marketing Agency in Mumbai	088409 36665	Navjivan Commercial Premises Office, 518, Patthe Bapurao Marg, Navjeevan Society, Dalal Estate, Mumbai Central, Mumbai, Maharashtra 400008	https://onewrapdigitalsolutions.com/	5	Marketing agency	N/A	100	A	TRUE
google_maps	MEDIA SHADES DIGITAL MARKETING AGENCY LLP	084335 72821	Khetwadi, Girgaon, Mumbai, Maharashtra 400004	https://www.mediashades.in/	4.9	Internet marketing service	N/A	100	A	TRUE
google_maps	The 4P Solutions - B2B Digital Marketing Agency in Mumbai	085919 37177	Neptune Flying Colors, 403 D, Dindayal Upadhyay Marg, above Croma, near Mulund Check Naka, Siddharth Nagar, Mulund West, Mumbai, Maharashtra 400080	http://the4psolutions.com/	4.7	Marketing agency	N/A	100	A	TRUE
google_maps	3minds	080 4709 5333	6th Floor, A-Wing, Hiranandani Lighthall, Saki Vihar Rd, Muranjan Wadi, Marol, Andheri East, Mumbai, Maharashtra 400072	https://3mindsdigital.com/?utm_source=Google&utm_medium=GMB&utm_campaign=Maps	4.6	Internet marketing service	N/A	100	A	TRUE
google_maps	Digital Corsel - Best Digital Marketing Agency in Mumbai | PPC | SEO Company	080199 97777	Brahans Business Park, 303, Paper Box Rd, M.I.D.C, Radha Krishna Nagar, Aghadi Nagar, Andheri East, Mumbai, Maharashtra 400093	https://digitalcorsel.com/mumbai/	4.9	Internet marketing service	N/A	100	A	TRUE
google_maps	Orion Digital | Digital Agency in Mumbai | ORM Agency | Social Media | SEO Agency	084338 35983	2nd Floor, Kuber Complex, 231, near Bora Bora, off New Link Road, Veera Desai Industrial Estate, Andheri (West, Mumbai, Maharashtra 400053	https://www.oriondigital.in/	4.4	Internet marketing service	N/A	100	A	TRUE
google_maps	DigiChefs	089286 33185	3rd Floor, Jai Antariksha, 306, Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059	https://digichefs.com/	4.7	Marketing agency	N/A	100	A	TRUE
google_maps	Krono - Lead Generation & Digital Marketing Agency In Prabhadevi, Dadar	091670 77067	423 Kaliandas Udyog Bhavan, 302/303, Sadanand Hasu Tandel Marg, Century Bazaar, Prabhadevi, Mumbai, Maharashtra 400025	http://www.kronoiinc.com/	4.3	Marketing agency	N/A	100	A	TRUE
google_maps	Rannka Digital - Best Digital Marketing Agency in Borivali, Mumbai.	093241 33873	102, Neelkamal heights, Shimpoli Rd, Kastur Park, Borivali West, Mumbai, Maharashtra 400092	http://www.rannkadigital.com/	4.3	Marketing agency	N/A	100	A	TRUE
